Length,Non-standard basepairs,F1 score
1420.0,25.0,0.931034505367279
1420.0,22.0,0.9226837158203124
1421.0,28.0,0.896244466304779
1421.0,22.0,0.93546324968338
1421.0,25.0,0.9363250732421876
1421.0,23.0,0.9380862712860109
1421.0,22.0,0.9467607140541076
1422.0,22.0,0.9400244951248168
1422.0,18.0,0.925116002559662
1422.0,21.0,0.9405815601348876
1423.0,22.0,0.937700629234314
1423.0,25.0,0.9402891397476196
1423.0,21.0,0.935524582862854
1423.0,21.0,0.9356277585029602
1424.0,32.0,0.882758617401123
1424.0,22.0,0.9368029832839966
1424.0,29.0,0.9000661969184875
1424.0,22.0,0.9404228329658508
1425.0,26.0,0.9377289414405824
1425.0,23.0,0.9425742626190186
1425.0,24.0,0.9411765336990356
1425.0,24.0,0.9179518818855286
1426.0,23.0,0.9302899241447448
1426.0,26.0,0.9253547191619872
1426.0,27.0,0.93325012922287
1426.0,24.0,0.9320871829986572
1426.0,21.0,0.9410256147384644
1426.0,31.0,0.9059500694274902
1426.0,26.0,0.9331651926040648
1426.0,24.0,0.9397141337394714
1427.0,26.0,0.940587878227234
1427.0,22.0,0.9341160655021667
1427.0,24.0,0.9375765323638916
1427.0,25.0,0.9333333373069764
1428.0,23.0,0.9369258880615234
1428.0,27.0,0.921951174736023
1428.0,25.0,0.9419113397598268
1428.0,22.0,0.9277955293655396
1429.0,28.0,0.9379310011863708
1429.0,26.0,0.9318045377731324
1429.0,19.0,0.9404990077018738
1429.0,22.0,0.9416393637657166
1430.0,30.0,0.910224437713623
1430.0,21.0,0.9232720136642456
1430.0,21.0,0.939563810825348
1430.0,23.0,0.9370030760765076
1430.0,21.0,0.9451795816421508
1430.0,24.0,0.9362244606018066
1431.0,29.0,0.9029850959777832
1431.0,22.0,0.9386189579963684
1431.0,24.0,0.9350976943969728
1432.0,24.0,0.9375765323638916
1432.0,22.0,0.9088608026504515
1432.0,27.0,0.9414694905281068
1432.0,31.0,0.9078540802001952
1432.0,19.0,0.9181585311889648
1432.0,23.0,0.9422221779823304
1432.0,24.0,0.9375765323638916
1433.0,30.0,0.925742506980896
1433.0,26.0,0.9363805055618286
1433.0,24.0,0.934903919696808
1433.0,27.0,0.9401496648788452
1433.0,25.0,0.9371567964553832
1433.0,26.0,0.9133663177490234
1434.0,23.0,0.9362745881080629
1434.0,25.0,0.9351621270179749
1434.0,24.0,0.9373098015785216
1434.0,24.0,0.9320388436317444
1434.0,21.0,0.9397141337394714
1435.0,23.0,0.9370716214179992
1435.0,25.0,0.9388989806175232
1435.0,32.0,0.9122373461723328
1435.0,30.0,0.8836633563041687
1435.0,28.0,0.9217603802680968
1435.0,25.0,0.9332517385482788
1435.0,32.0,0.9263158440589904
1436.0,24.0,0.9335771203041076
1436.0,25.0,0.8894535899162292
1436.0,23.0,0.9318463802337646
1436.0,25.0,0.9357011914253236
1436.0,24.0,0.9376135468482972
1436.0,26.0,0.9365853667259216
1436.0,25.0,0.9375
1437.0,22.0,0.932835817337036
1437.0,25.0,0.9026548862457277
1437.0,24.0,0.9358128309249878
1437.0,24.0,0.9355847239494324
1437.0,23.0,0.938601851463318
1437.0,22.0,0.9397443532943726
1437.0,30.0,0.9126691222190856
1437.0,26.0,0.9133247137069702
1438.0,21.0,0.9353234171867372
1438.0,25.0,0.9413249492645264
1438.0,24.0,0.9248263239860536
1438.0,22.0,0.9265255331993104
1438.0,24.0,0.9320634603500366
1439.0,28.0,0.9156923294067384
1439.0,25.0,0.933746099472046
1439.0,30.0,0.9245861768722534
1439.0,28.0,0.9348752498626708
1439.0,24.0,0.9204406142234802
1440.0,24.0,0.9379144310951232
1440.0,25.0,0.933909833431244
1440.0,25.0,0.943960189819336
1440.0,23.0,0.938601851463318
1440.0,25.0,0.936170220375061
1440.0,24.0,0.9358582496643066
1441.0,26.0,0.9275715351104736
1441.0,26.0,0.936170220375061
1441.0,26.0,0.936067521572113
