,Non-standard,Watson-Crick,Paired with N,Wobble
927,25,360,0,58
928,27,359,0,64
929,25,362,0,61
930,25,360,0,65
931,26,361,0,63
932,25,364,1,58
933,25,362,0,59
934,25,355,0,65
935,26,358,0,61
936,28,362,0,58
937,23,365,0,60
938,26,361,0,61
939,27,360,0,60
940,25,356,3,58
941,25,354,0,61
942,25,350,0,59
943,25,359,0,62
944,25,357,0,63
945,26,351,0,61
946,24,337,0,62
947,26,345,0,60
948,25,346,0,62
949,25,360,0,65
950,23,349,0,64
951,25,353,0,62
952,25,360,0,65
953,27,350,0,60
954,26,361,0,56
955,26,367,0,56
956,26,365,0,56
957,25,364,1,60
958,25,370,0,56
959,26,361,0,63
960,25,367,0,59
961,25,367,1,58
962,25,364,0,62
963,25,364,0,62
964,26,359,0,56
965,26,359,0,63
966,24,360,0,64
967,26,368,0,56
968,26,368,0,56
969,24,360,0,64
970,26,361,0,63
971,26,368,0,56
972,26,357,0,63
973,26,343,0,60
974,26,355,0,61
975,26,368,0,56
976,26,368,0,56
977,26,364,0,60
978,25,367,0,58
979,26,364,0,60
980,26,367,0,56
981,28,365,0,57
982,24,366,0,57
983,26,365,0,57
984,26,365,0,57
985,25,365,0,57
986,25,358,0,65
987,26,367,0,56
988,25,366,0,59
989,25,368,0,57
990,25,357,1,56
991,25,360,0,63
992,26,360,0,61
993,25,359,0,57
994,25,356,0,60
995,23,361,0,60
996,27,364,0,57
997,24,341,0,63
998,25,355,2,59
999,25,363,0,62
1000,25,360,1,59
1001,25,356,0,61
1002,25,356,0,60
1003,25,358,0,63
1004,26,345,0,60
1005,24,361,0,60
1006,26,362,0,56
1007,25,363,0,60
1008,25,364,1,61
1009,26,356,0,60
1010,25,363,0,57
1011,26,360,0,62
1012,25,365,0,60
1013,26,366,0,56
1014,25,366,0,60
1015,26,351,1,59
1016,26,363,0,61
1017,25,362,0,63
1018,25,359,0,56
1019,25,367,0,58
1020,24,369,0,56
1021,26,360,4,60
1022,23,358,1,74
1023,21,336,0,70
1024,23,373,0,73
1025,31,371,0,69
1026,24,304,0,63
1027,6,128,0,34
1028,4,114,0,27
1029,4,115,0,29
1030,23,366,0,71
1031,24,368,0,74
1032,26,376,0,66
1033,25,371,0,64
1034,26,375,0,66
1035,26,375,1,66
1036,26,376,0,66
1037,27,374,0,67
1038,13,193,0,38
1039,24,359,0,60
1040,24,358,0,60
1041,26,356,0,60
1042,24,357,0,62
1043,24,356,0,62
1044,24,357,0,62
1045,23,356,0,64
1046,24,355,0,63
1047,27,348,0,70
1048,23,359,0,74
1049,21,339,0,70
1050,22,342,0,73
1051,23,327,0,71
1052,23,361,0,74
1053,23,354,0,72
1054,22,369,0,75
1055,24,377,0,65
1056,30,348,0,74
1057,30,364,0,76
1058,23,365,0,78
1059,21,325,0,68
1060,17,317,0,63
1061,24,358,0,63
1062,25,366,0,57
1063,23,358,0,63
1064,23,366,0,57
1065,23,366,0,56
1066,26,377,0,62
1067,24,378,0,64
1068,24,378,0,64
1069,24,378,0,64
1070,24,378,0,64
1071,24,377,0,65
1072,25,359,0,70
1073,25,359,0,70
1074,22,355,0,63
1075,22,355,0,63
1076,24,360,0,57
1077,24,360,0,57
1078,28,367,0,73
1079,25,371,0,71
1080,26,371,0,71
1081,26,370,0,72
1082,17,315,0,66
1083,24,375,0,67
1084,27,377,1,63
1085,21,346,0,75
1086,25,357,0,73
1087,24,368,0,62
1088,24,369,0,60
1089,24,373,0,59
1090,30,367,0,55
1091,26,377,0,63
1092,29,352,0,66
1093,21,332,0,64
1094,22,344,0,60
1095,24,362,3,59
1096,23,356,0,63
1097,23,358,0,61
1098,24,366,0,62
